"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"266","12","","Darwin Thompson","KC","RB77","12","113","381","230.3","64.1","206.0","-60.0"
"267","12","","Aldrick Rosas","NYG","K16","11","153","332","262.7","22.7","225.0","-42.0"
"268","12","","Equanimeous St. Brown","GB","WR92","11","159","350","252.3","36.2","344.0","+76.0"
"269","12","","Keelan Cole","JAC","WR93","10","82","354","255.7","35.5","353.0","+84.0"
"270","12","","Ryan Fitzpatrick","MIA","QB32","5","33","395","267.0","43.5","271.0","+1.0"
"271","12","","Chris Boswell","PIT","K17","7","204","305","270.9","23.7","274.0","+3.0"
"272","12","","Green Bay (GB)","","DST21","11","145","318","266.8","35.6","229.0","-43.0"
"273","12","","Chris Conley","JAC","WR94","10","157","371","261.5","38.5","386.0","+113.0"
"274","12","","Dan Bailey","MIN","K18","12","204","305","266.3","22.6","214.0","-60.0"
"275","12","","Atlanta (ATL)","","DST22","9","203","318","265.3","25.6","244.0","-31.0"
"276","12","","J.J. Arcega-Whiteside","PHI","WR95","10","155","373","261.2","40.6","272.0","-4.0"
"277","12","","Ryan Succop","TEN","K19","11","208","308","274.5","19.9","250.0","-27.0"
"278","12","","Miles Boykin","BAL","WR96","8","96","345","248.5","60.0","283.0","+5.0"
"279","12","","Rashard Higgins","CLE","WR97","7","110","360","261.9","51.0","263.0","-16.0"
"280","12","","Josh Rosen","MIA","QB33","5","43","371","279.9","43.0","273.0","-7.0"
"281","12","","Josh Lambo","JAC","K20","10","154","353","286.3","27.0","315.0","+34.0"
"282","12","","Breshad Perriman","TB","WR98","7","148","379","281.5","47.0","371.0","+89.0"
"283","12","","Benny Snell Jr.","PIT","RB78","7","84","379","273.1","44.6","257.0","-26.0"
"284","12","","Brandon McManus","DEN","K21","10","210","339","284.1","18.1","260.0","-24.0"
"285","12","","Hakeem Butler","ARI","WR99","12","73","385","274.0","42.9","278.0","-7.0"
"286","12","","Nick Vannett","SEA","TE33","11","191","357","278.3","35.5","451.0","+165.0"
"287","12","","Corey Clement","PHI","RB79","10","189","355","278.2","33.9","354.0","+67.0"
"288","12","","Chris Hogan","CAR","WR100","7","178","387","283.4","42.5","303.0","+15.0"
"289","12","","Arizona (ARI)","","DST23","12","165","337","286.1","30.6","268.0","-21.0"
"290","12","","Taywan Taylor","TEN","WR101","11","194","373","273.4","40.3","403.0","+113.0"
"291","12","","Greg Joseph","CLE","K22","7","171","342","281.7","27.8","349.0","+58.0"
"292","12","","Washington (WAS)","","DST24","10","141","323","289.6","40.8","251.0","-41.0"
"293","13","","Ty Montgomery","NYJ","RB80","4","149","384","282.2","48.5","329.0","+36.0"
"294","13","","Terry McLaurin","WAS","WR102","10","79","374","251.1","59.5","327.0","+33.0"
"295","13","","Demaryius Thomas","NE","WR103","10","148","379","266.6","47.8","245.0","-50.0"
"296","13","","Dexter Williams","GB","RB81","11","153","362","264.3","54.7","277.0","-19.0"
"297","13","","Steven Hauschka","BUF","K23","6","156","332","294.1","27.3","311.0","+14.0"
"298","13","","Devontae Booker","DEN","RB82","10","188","382","287.4","41.1","376.0","+78.0"
"299","13","","Charles Clay","ARI","TE34","12","209","391","293.7","40.4","418.0","+119.0"
