"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
211,11,NA,"A.J. Brown","TEN","WR78",11,62,315,207.8,36.8,"217.0",6,0,""
212,11,NA,"Wil Lutz","NO","K5",9,171,253,203.4,12.1,"161.0",-51,0,""
213,11,NA,"Andy Isabella","ARI","WR79",12,107,326,215.5,44.2,"241.0",28,0,""
214,11,NA,"New England (NE)","","DST11",10,140,266,209,18.1,"180.0",-34,0,""
215,11,NA,"Ted Ginn","NO","WR80",9,109,306,225.9,37.1,"227.0",12,0,""
216,11,NA,"Dallas (DAL)","","DST12",8,159,250,211.6,13.9,"177.0",-39,0,""
217,11,NA,"Ka'imi Fairbairn","HOU","K6",10,151,302,215.3,23.8,"175.0",-42,0,""
218,11,NA,"Buffalo (BUF)","","DST13",6,164,307,210.1,20,"219.0",1,0,""
219,11,NA,"Mason Crosby","GB","K7",11,187,255,219.7,8.9,"210.0",-9,0,""
220,11,NA,"Nelson Agholor","PHI","WR81",10,131,297,220.9,29.3,"230.0",10,0,""
221,11,NA,"John Ross","CIN","WR82",9,141,306,221.4,34.9,"279.0",58,0,""
222,11,NA,"Antonio Callaway","CLE","WR83",7,137,332,223.2,40.8,"243.0",21,0,""
223,11,NA,"Philadelphia (PHI)","","DST14",10,140,303,223.4,20.1,"174.0",-49,0,""
224,11,NA,"Malcolm Brown","LAR","RB66",9,130,329,225.9,43.7,"254.0",30,0,""
225,11,NA,"Elijah McGuire","NYJ","RB67",4,126,363,220.4,44.6,"302.0",77,0,""
226,11,NA,"Joe Flacco","DEN","QB29",10,37,341,242.5,38.8,"238.0",12,0,""
227,11,NA,"Jake Elliott","PHI","K8",10,189,253,224.2,8.5,"209.0",-18,0,""
228,11,NA,"Seattle (SEA)","","DST15",11,176,318,224.7,18.8,"222.0",-6,0,""
229,11,NA,"Josh Doctson","WAS","WR84",10,127,375,236.4,43.2,"333.0",104,0,""
230,11,NA,"T.J. Yeldon","BUF","RB68",6,119,337,229.3,37.8,"252.0",22,0,""
231,11,NA,"Brett Maher","DAL","K9",8,190,253,229.3,12.2,"196.0",-35,0,""
232,11,NA,"Matt Prater","DET","K10",5,192,308,230.5,16.6,"215.0",-17,0,""
233,11,NA,"Robbie Gould","SF","K11",4,192,287,233.7,15.2,"193.0",-40,0,""
234,11,NA,"Michael Badgley","LAC","K12",12,196,287,234.5,15.1,"213.0",-21,0,""
235,11,NA,"Pittsburgh (PIT)","","DST16",7,166,303,235.2,23.3,"208.0",-27,0,""
236,11,NA,"Cameron Brate","TB","TE27",7,41,344,238.1,38.8,"294.0",58,0,""
